,name,latitude,longitude,new_city_name
112,Rrethi i BulqizÃ«s,41.5,20.33333,Valikardhë
113,Rrethi i DibrÃ«s,41.75,20.33333,Fushë-Çidhën
114,Rrethi i Matit,41.58333,20.08333,Kurdari
115,UlÃ«z,41.68278,19.89333,Ulëz
116,Bashkia DurrÃ«s,41.42743,19.4869,Rrushkull
117,Bashkia KrujÃ«,41.50091,19.72571,Derven
118,Bashkia Shijak,41.33558,19.58977,Gjepalaj
119,DurrÃ«s,41.32355,19.45469,Durrës
120,DurrÃ«s District,41.3166,19.45,Durrës
121,FushÃ«-KrujÃ«,41.47833,19.71778,Fushë-Krujë
122,KrujÃ«,41.50917,19.79278,Kruje
123,Rrethi i KrujÃ«s,41.55,19.75,Kruje
124,Shijak,41.34556,19.56722,Shijak
125,Sukth,41.38056,19.53778,Sukth
126,Ballsh,40.59889,19.73472,Ballsh
127,Bashkia DivjakÃ«,40.95716,19.52364,Zharrnec
128,Bashkia Fier,40.72937,19.4869,Havaleas
129,Bashkia MallakastÃ«r,40.55669,19.77347,Hekal
130,Bashkia Patos,40.67793,19.65591,Patos
131,DivjakÃ«,40.99667,19.52944,Divjakë
132,Fier,40.72389,19.55611,Fier
133,Fier-ÃifÃ§i,40.71667,19.56667,Fier
134,LushnjÃ«,40.94194,19.705,Lushnjë
135,Patos,40.68333,19.61944,Patos
136,Patos Fshat,40.64278,19.65083,Patos
137,Roskovec,40.7375,19.70222,Roskovec
138,Rrethi i MallakastrÃ«s,40.55,19.78333,Kremenar
139,Bashkia Dropull,39.98584,20.30529,Glinë
140,Bashkia KelcyrÃ«,40.36196,20.16476,Podgoran
141,Bashkia LibohovÃ«,40.10754,20.25753,Stegopull
142,Bashkia Memaliaj,40.41524,19.96911,Luftinjë E Sipërme
143,Bashkia PÃ«rmet,40.23246,20.41091,Qilarisht
144,Bashkia TepelenÃ«,40.26736,19.97003,Bënçë
145,Gjinkar,40.19944,20.40611,Petran
146,GjirokastÃ«r,40.07583,20.13889,Gjirokaster
147,KÃ«lcyrÃ«,40.31306,20.18944,Këlcyrë
148,Lazarat,40.04667,20.1475,Lazarat
149,LibohovÃ«,40.03111,20.26306,Libohovë
150,Memaliaj,40.35167,19.98028,Memaliaj
151,PÃ«rmet,40.23361,20.35167,Përmet
152,TepelenÃ«,40.29583,20.01917,Tepelenë
153,Bashkia Devoll,40.60078,20.93814,Hoçisht
154,Bashkia KolonjÃ«,40.3142,20.61482,Kagjinas
155,Bashkia Maliq,40.75508,20.60748,Desmira
156,Bashkia Pustec,40.83591,20.89405,Diellas
157,Bilisht,40.6275,20.99,Bilisht
158,ErsekÃ«,40.33778,20.67889,Ersekë
159,KorÃ§Ã«,40.61861,20.78083,Korçë
160,Leskovik,40.15139,20.59722,Leskovik
161,Libonik,40.70444,20.70861,Libonik
162,Maliq,40.70583,20.69972,Maliq
163,Mborje,40.60333,20.80306,Mborje
164,Pogradec,40.9025,20.6525,Pogradec
165,Rrethi i Devollit,40.58333,20.91667,Përparimaj
166,Rrethi i KolonjÃ«s,40.25,20.66667,Shales
167,VelÃ§an,40.95472,20.46222,Velçan
168,VoskopojÃ«,40.63306,20.58889,Voskopojë
169,Bajram Curri,42.35734,20.07679,Bajram Curri
170,KrumÃ«,42.19694,20.41333,Has
171,KukÃ«s,42.07694,20.42194,Kukës
172,Rrethi i Hasit,42.16667,20.33333,Brahog
173,Rrethi i KukÃ«sit,42,20.33333,Surroj Municipality
174,Bashkia Kurbin,41.62215,19.70734,Laç
175,Bashkia LezhÃ«,41.8132,19.64121,Balldreni
176,Bashkia MirditÃ«,41.80953,19.99024,Malaj
177,Kurbnesh,41.77972,20.08361,Kurbnesh
178,LaÃ§,41.63556,19.71306,Laç
179,LezhÃ«,41.78361,19.64361,Lezhë District
180,Mamurras,41.5775,19.69222,Mamurras
181,Milot,41.68389,19.71556,Milot
182,RrÃ«shen,41.7675,19.87556,Rrëshen
183,Rrethi i Kurbinit,41.63333,19.71667,Laç
184,Rubik,41.77444,19.78611,Rubik
185,ShÃ«ngjin,41.81361,19.59389,Shëngjin
186,Bashkia MalÃ«si e Madhe,42.36798,19.58977,Bogë
187,Bashkia PukÃ«,42.02997,19.92778,Puka
188,Bashkia Vau i DejÃ«s,42.04834,19.69999,Sheldija
189,FushÃ«-ArrÃ«z,42.06222,20.01667,Fushë-Arrëz
190,Koplik,42.21361,19.43639,Koplik
191,PukÃ«,42.04444,19.89972,Puka
192,Rrethi i MalÃ«sia e Madhe,42.33333,19.58333,Xhaj
193,Rrethi i ShkodrÃ«s,42.06917,19.53506,Shkodër
194,ShkodÃ«r,42.06828,19.51258,Shkodër
195,Vau i DejÃ«s,42.01,19.62472,Mjeda
196,VukatanÃ«,42.02806,19.54778,Vukatanë
197,Bashkia KavajÃ«,41.18127,19.55579,Kavajë
198,Bashkia VorÃ«,41.39804,19.67703,Vorë e Vjetër
199,KamÃ«z,41.38167,19.76028,Kamëz
200,KavajÃ«,41.18556,19.55694,Kavajë
201,KrrabÃ«,41.21556,19.97139,Krrabë
202,Rrethi i KavajÃ«s,41.16667,19.58333,Kavajë
203,Rrethi i TiranÃ«s,41.33333,19.91667,Surrel
204,RrogozhinÃ«,41.07639,19.66528,Rrogozhinë
205,Sinaballaj,41.06889,19.69944,Rrogozhinë
206,Tirana,41.3275,19.81889,Tirana
207,VorÃ«,41.39083,19.655,Vorë
208,Bashkia Finiq,39.84393,20.16659,Dhivër
209,Bashkia HimarÃ«,40.11581,19.81389,Kudhës
210,Bashkia Konispol,39.70064,20.13353,Shalës
211,Bashkia SelenicÃ«,40.39503,19.65958,Amonicë
212,Bashkia VlorÃ«,40.4134,19.49792,Vlorë
213,DelvinÃ«,39.95111,20.09778,Delvinë District
214,HimarÃ«,40.10167,19.74472,Himarë
215,Konispol,39.65889,20.18139,Konispol
216,Ksamil,39.76889,19.99972,Ksamil
217,Orikum,40.32528,19.47139,Orikum
218,Rrethi i DelvinÃ«s,39.91667,20.08333,Mesopotam
219,SarandÃ«,39.87534,20.00477,Sarandë
220,SelenicÃ«,40.53056,19.63583,Selenice
221,VlorÃ«,40.4686,19.48318,Vlorë
222,Adrar,27.87429,-0.29388,Adrar
223,Aoulef,26.96667,1.08333,M8
224,Reggane,26.71576,0.1714,8H
225,Timimoun,29.26388,0.23098,Ouled Said
226,AÃ¯n Defla,36.26405,1.9679,Ain Defla
227,El Abadia,36.26951,1.68609,El Abadia
228,El Attaf,36.22393,1.67187,El Attaf
229,Khemis Miliana,36.26104,2.22015,Khemis Miliana
230,Theniet el Had,35.87111,2.02806,Theniet El Had
231,AÃ¯n Temouchent,35.29749,-1.14037,Ain Temouchent
232,Beni Saf,35.30099,-1.38226,Béni Saf
233,El Amria,35.52439,-1.01577,El Amria
234,El Malah,35.39137,-1.09238,El Malah
235,Hammam Bou Hadjar,35.37889,-0.96778,Hammam Bou Hadjar
236,AÃ¯n Taya,36.79333,3.28694,Aïn Taya
237,Algiers,36.73225,3.08746,Kouba
238,Bab Ezzouar,36.72615,3.18291,Bab Ezzouar
239,Birkhadem,36.71499,3.05002,Birkhadem
240,Bordj el Kiffan,36.74871,3.19249,Bordj El Kiffan
241,Dar el BeÃ¯da,36.71333,3.2125,Dar El Beïda
242,Rouiba,36.73829,3.28079,Rouiba
243,Annaba,36.9,7.76667,Annaba
244,Berrahal,36.83528,7.45333,Berrahal
245,Drean,36.68482,7.75111,Drean
246,El Hadjar,36.80377,7.73684,El Hadjar
247,AÃ¯n Touta,35.37675,5.90001,Aïn Touta
248,Arris,35.25881,6.34706,Arris
249,Barika,35.38901,5.36584,Barika
250,Batna,35.55597,6.17414,Batna
251,Boumagueur,35.5052,5.5525,Boumagueur
252,Merouana,35.63106,5.91186,Merouana
253,RÃ¢s el AÃ¯oun,35.67384,5.6453,Ras El Aioun
254,Tazoult-Lambese,35.48171,6.26074,Tazoult
255,BÃ©char,31.61667,-2.21667,Tnkerod
256,Akbou,36.4575,4.53494,Akbou
257,Amizour,36.64022,4.90131,Amizour
258,Barbacha,36.56667,4.96667,Barbacha
259,BejaÃ¯a,36.75587,5.08433,Béjaïa
260,el hed,36.65,4.77361,Ifenain Ilmathen
261,El Kseur,36.67942,4.8555,El-Kseur
262,Feraoun,36.56041,4.85454,Feraoun
263,Seddouk,36.54722,4.68611,Seddouk
264,Biskra,34.85038,5.72805,Biskra
265,Oumache,34.69292,5.68092,Oumache
266,Sidi Khaled,34.387,4.98785,Sidi Khaled
267,Sidi Okba,34.74512,5.89833,Sidi Okba
268,Tolga,34.72224,5.37845,Tolga
269,Zeribet el Oued,34.68284,6.51109,Zeribet El Oued
270,Beni Mered,36.52389,2.86131,Beni Merad
271,Blida,36.47004,2.8277,Blida
272,BoÃ» Arfa,36.46298,2.81464,Bouarfa
273,Boufarik,36.57413,2.91214,Boufarik
274,Bougara,36.54178,3.081,Bougara
275,Bouinan,36.53167,2.99194,Bouinan
276,Chebli,36.57722,3.00917,Chébli
277,Chiffa,36.46293,2.73873,Chiffa
278,LarbaÃ¢,36.56471,3.15434,Larbaa
279,Meftah,36.6204,3.22248,Meftah
280,Sidi Moussa,36.60637,3.08783,Sidi Moussa
281,Souma,36.51833,2.90528,Soumaâ
282,Bordj Bou Arreridj,36.07321,4.76108,Bordj Bou Arreridj
283,Bordj Ghdir,35.90111,4.89806,Bordj Ghédir
284,Bordj Zemoura,36.27462,4.85668,Bordj Zemoura
285,El Achir,36.06386,4.62744,El Achir
286,Mansourah,36.08725,4.45192,Mansoura
287,Melouza,35.97999,4.18665,Ouanougha
288,RÃ¢s el Oued,35.9441,5.03107,Ras El Oued
289,AÃ¯n Bessem,36.29333,3.67319,Aïn Bessem
290,BouÃ¯ra,36.37489,3.902,Bouira
291,Chorfa,36.36505,4.32636,Chorfa
292,Draa el Mizan,36.53628,3.8334,Dra Lmizan
293,Lakhdaria,36.56463,3.5933,Lakhdaria
294,Sour el Ghozlane,36.14766,3.69123,Sour El-Ghozlane
295,Arbatache,36.63773,3.37127,Larbatache
296,Beni Amrane,36.66774,3.59115,Beni Amrane
297,Boudouaou,36.72735,3.40995,Boudouaou
298,Boumerdas,36.76639,3.47717,Boumerdes
299,Chabet el Ameur,36.63709,3.69474,Chabet el Ameur
300,Dellys,36.91716,3.91311,Dellys
301,Khemis el Khechna,36.64997,3.3308,Khemis El-Khechna
302,Makouda,36.78567,4.06273,Makouda
303,Naciria,36.74625,3.83163,Naciria
304,Ouled Moussa,36.68394,3.36661,Ouled Moussa
305,ReghaÃ¯a,36.73587,3.34018,Réghaïa
306,TadmaÃ¯t,36.74413,3.90045,Tadmaït
307,Thenia,36.72544,3.55665,Thénia
308,Tizi Gheniff,36.58839,3.77445,Tizi Ghenif
309,Abou el Hassan,36.41657,1.19616,Abou El Hassen
310,Boukadir,36.06629,1.12602,Bou Kadir
311,Chlef,36.16525,1.33452,Chlef
312,Ech Chettia,36.19591,1.25537,Chettia
313,Oued Fodda,36.18503,1.53299,Oued Fodda
314,Oued Sly,36.10124,1.19949,Oued Sly
315,Sidi Akkacha,36.46472,1.30258,Sidi Akkacha
316,âAÃ¯n Abid,36.23194,6.94333,Ain Abid
317,AÃ¯n Smara,36.2674,6.50135,Ain Smara
318,Constantine,36.365,6.61472,Constantine
319,Didouche Mourad,36.4525,6.63639,Didouche Mourad
320,El Khroub,36.26333,6.69361,El Khroub
321,Hamma Bouziane,36.41205,6.59603,Hamma Bouziane
322,âAÃ¯n el Bell,34.34381,3.22475,Aïn El Ibel
323,AÃ¯n Oussera,35.45139,2.90583,Aïn Oussera
324,Birine,35.635,3.225,Birine
325,Charef,34.62098,2.79503,Charef
326,Dar Chioukh,34.89638,3.48543,Dar Chioukh
327,Djelfa,34.67279,3.263,Djelfa
328,El Idrissia,34.44542,2.52749,El Idrissia
329,Messaad,34.15429,3.50309,Messaad
330,Brezina,33.09892,1.26082,H8
331,El Abiodh Sidi Cheikh,32.893,0.54839,Les Arbaouats
332,El Bayadh,33.68318,1.01927,El Bayadh
333,Debila,33.51667,6.95,Debila
334,El Oued,33.35608,6.86319,El Oued
335,Reguiba,33.56391,6.70326,Reguiba
336,Robbah,33.27967,6.90984,Robbah
337,Ben Mehidi,36.76967,7.90641,Ben Mehidi
338,Besbes,36.70222,7.84722,Besbes
339,El Kala,36.89556,8.44333,El Kala
340,El Tarf,36.7672,8.31377,El Tarf
341,Berriane,32.82648,3.76689,HQ
342,GhardaÃ¯a,32.49094,3.67347,Ghardaia
343,Metlili Chaamba,32.26667,3.63333,M8
344,Boumahra Ahmed,36.45833,7.51389,Boumahra Ahmed
345,Guelma,36.46214,7.42608,Guelma
346,HÃ©liopolis,36.50361,7.44278,Heliopolis
347,Illizi,26.48333,8.46667,8M
348,Jijel,36.82055,5.76671,Jijel
349,Khenchela,35.43583,7.14333,Khenchela
350,Aflou,34.11279,2.10228,Aflou
351,Laghouat,33.8,2.86514,Laghouat
352,âAÃ¯n el Hadjel,35.67003,3.88153,Aïn El Hadjel
353,âAÃ¯n el Melh,34.84146,4.16383,Aïn El Melh
354,MâSila,35.70583,4.54194,M'Sila
355,Sidi AÃ¯ssa,35.88548,3.77236,Sidi Aissa
356,Bou Hanifia el Hamamat,35.31473,-0.05037,Bou Hanifia
357,Mascara,35.39664,0.14027,Mascara
358,Oued el Abtal,35.45595,0.68778,Oued El Abtal
359,Sig,35.52832,-0.19369,Sig
360,âAÃ¯n Boucif,35.89123,3.1585,Aïn Boucif
361,Berrouaghia,36.13516,2.91085,Berrouaghia
362,Ksar el Boukhari,35.88889,2.74905,Ksar Boukhari
363,MÃ©dÃ©a,36.26417,2.75393,Médéa
364,Chelghoum el AÃ¯d,36.16286,6.16651,Chelghoum Laïd
365,Mila,36.45028,6.26444,Mila
366,Rouached,36.45774,6.04267,Rouached
367,Sidi MÃ©rouane,36.52056,6.26111,Sidi Merouane
368,Telerghma,36.11653,6.35434,Teleghma
369,Mostaganem,35.93115,0.08918,Mostaganem
370,AÃ¯n Sefra,32.75,-0.58333,Aïn Séfra
371,Naama,33.26667,-0.31667,Naama
372,âAÃ¯n el Turk,35.74381,-0.7693,Ain El Turk
373,AÃ¯n el Bya,35.80389,-0.30178,Aïn Bya
374,Bir el Djir,35.72,-0.545,Bir El Djir
375,Bou Tlelis,35.57272,-0.8996,Boutlelis
376,Es Senia,35.64779,-0.62397,Es Senia
377,Mers el Kebir,35.7279,-0.7081,Mers El Kébir
378,Oran,35.69906,-0.63588,Oran
379,Sidi ech Chahmi,35.65903,-0.52168,Sidi Chami
380,Djamaa,33.53388,5.99306,Djamaa
381,El Hadjira,32.61336,5.51259,82
382,Hassi Messaoud,31.68041,6.07286,54
383,Megarine,33.19195,6.08695,Megarine
384,Ouargla,31.94932,5.32502,Sidi Khouiled
385,Rouissat,31.92427,5.35018,Sidi Khouiled
386,Sidi Amrane,33.49885,6.00803,Sidi Amrane
387,Tebesbest,33.11667,6.08333,Tebesbest
388,Touggourt,33.10527,6.05796,Touggourt
389,AÃ¯n BeÃ¯da,35.79639,7.39278,Aïn Beïda
390,AÃ¯n Fakroun,35.97108,6.87374,Aïn Fakroun
391,AÃ¯n Kercha,35.92472,6.69528,Aïn Kercha
392,El Aouinet,35.86691,7.88673,El Aouinet
393,Meskiana,35.63058,7.66606,Meskiana
394,Oum el Bouaghi,35.87541,7.11353,Oum El Bouaghi
395,âAÃ¯n Merane,36.16277,0.97037,Ain Merane
396,Ammi Moussa,35.86781,1.11143,Ammi Moussa
397,Djidiouia,35.92989,0.82871,Djidiouia
398,Mazouna,36.12232,0.89865,Mazouna
399,Oued Rhiou,35.96124,0.91896,Oued Rhiou
400,Relizane,35.73734,0.55599,Relizane
401,Smala,35.71652,0.75437,Zemmoura
402,Zemoura,35.72251,0.75509,Zemmoura
403,âAÃ¯n el Hadjar,34.75846,0.14528,Ain el Hadjar
404,SaÃ¯da,34.83033,0.15171,Saïda
405,AÃ¯n Arnat,36.18683,5.31347,Aïn Arnat
406,BABOR - VILLE,36.48994,5.5393,Babor
407,Bougaa,36.33293,5.08843,Bougaa
408,El Eulma,36.15281,5.69016,El Eulma
409,Salah Bey,35.85451,5.29053,Salah Bey
410,SÃ©tif,36.19112,5.41373,Setif
411,AÃ¯n El Berd District,35.35,-0.51667,Ain el Berd
412,Balidat Ameur,32.951389,5.980556,Blidet Amor
413,Belarbi,35.1514948,-0.4567909,Belarbi
414,Ben Badis Sid Bel AbbÃ©s,34.95277778,-0.91444444,Ben Badis
415,Djamaa,33.5313787,5.9909821,Djamaa
416,El Bour,32.16305556,5.34527778,Sidi Khouiled
417,El Hadjira,32.61666667,5.51666667,MM
418,Haoud El Hamra,31.88944444,5.97305556,Q6
419,Hassi Messaoud,31.7,6.06666667,2M
420,Lamtar,35.070627,-0.79814,Lamtar
421,Marhoum,34.4460042,-0.1950244,Marhoum
422,Megarine,33.1926232,6.0934639,Megarine
423,Merine,34.7807472,-0.4510403,Merine
424,Mezaourou,34.8173267,-0.6233189,Mezaourou
425,Moggar,33.26722222,6.06777778,Sidi Slimane
426,Moulay Slissen,34.81666667,-0.76666667,Moulay Slissen
427,N'Goussa,32.1408797,5.3082848,Sidi Khouiled
428,Ouargla,31.95,5.31666667,Sidi Khouiled
429,Rouissat,31.936576,5.3354073,Sidi Khouiled
430,Sfissef,35.2344028,-0.2434158,Sfisef
431,Sidi Ali Boussidi,35.1,-0.83333333,Sidi Ali Boussidi
432,Sidi Amrane,33.5,6.01666667,Sidi Amrane
433,Sidi Bel AbbÃ¨s,35.2,-0.63333333,Sidi Bel Abbès
434,Sidi Brahim,35.260556,-0.5675,Sidi Brahim
435,Sidi Hamadouche,35.29916667,-0.54888889,Sidi Hamadouche
436,Sidi Slimane,33.28861111,6.09472222,Sidi Slimane
437,Sidi Yacoub,35.13333333,-0.78333333,Sidi Yacoub
438,Sidi Yahia,33.52166667,5.94555556,Djamaa
439,Tabia Sid Bel AbbÃ©s,35.0178366,-0.7338524,Tabya
440,Taibet,33.0839189,6.3999653,Oum Zebed
441,Tamellaht,33.0119,6.00972,Tamacine
442,Tamerna Djedida,33.4464,5.95639,Sidi Amrane
443,Tebesbest,33.1200129,6.0800743,Tebesbest
444,Teghalimet,34.882833,-0.5600023,Teghalimet
445,Telagh,34.7849064,-0.5731773,Telagh
446,Tenezara,34.9634117,-0.6144619,Tanzara
447,Tenira,35.0196642,-0.5320644,Tenira
448,Tessala,35.243,-0.773163,Tessala
449,Touggourt,33.1,6.06666667,Touggourt
450,Zerouala,35.2423245,-0.5221939,Zerouala
451,Azzaba,36.73944,7.10528,Azzaba
452,Karkira,36.92917,6.58556,Kerkera
453,Skikda,36.87617,6.90921,Skikda
454,Tamalous,36.83763,6.64018,Tamalous
455,Sedrata,36.12868,7.53376,Sedrata
456,Souk Ahras,36.28639,7.95111,Souk Ahras
457,I-n-Salah,27.19351,2.46069,C7
458,Tamanrasset,22.785,5.52278,X4
459,Bir el Ater,34.74488,8.06024,Bir El Ater
460,Cheria,35.27306,7.75194,Cheria
461,Hammamet,35.44862,7.95184,Hammamet
462,TÃ©bessa,35.40417,8.12417,Tebessa
463,âAÃ¯n Deheb,34.84218,1.54697,Ain Deheb
464,Djebilet Rosfa,34.86375,0.83496,Djebilet Rosfa
465,Frenda,35.06544,1.04945,Frenda
466,Ksar Chellala,35.21222,2.31889,Ksar Chellala
467,Mehdia daira de meghila,35.43058,1.75714,Mahdia
468,Sougueur,35.18568,1.49612,Sougueur
469,Tiaret,35.37103,1.31699,Tiaret
470,Tindouf,27.67111,-8.14743,C2
471,âAÃ¯n Benian,36.80277,2.92185,Ain Benian
472,Baraki,36.66655,3.09606,Baraki
473,Bou IsmaÃ¯l,36.64262,2.69007,Bou Ismaïl
474,Cheraga,36.76775,2.95924,Chéraga
475,Douera,36.67,2.94444,Douéra
476,El Affroun,36.4701,2.62528,El Affroun
477,Hadjout,36.51257,2.41382,Hadjout
478,Kolea,36.63888,2.76845,Koléa
479,MouzaÃ¯a,36.46695,2.68991,Mouzaia
480,Oued el Alleug,36.55528,2.79028,Oued Alleug
481,Saoula,36.70456,3.02462,Saoula
482,Tipasa,36.58972,2.4475,Tipaza
483,Zeralda,36.71169,2.84244,Zeralda
484,Lardjem,35.74922,1.54778,Lardjem
485,Tissemsilt,35.60722,1.81081,Tissemsilt
486,âAÃ¯n el Hammam,36.56471,4.30619,Ain El Hammam
487,Arhribs,36.79361,4.31158,Freha
488,Azazga,36.74472,4.37222,Azazga
489,Beni Douala,36.61954,4.08282,Beni Douala
490,Boghni,36.54222,3.95306,Boghni
491,Boudjima,36.80218,4.15187,Boudjima
492,Chemini,36.6,4.61667,Chemini
493,Draa Ben Khedda,36.73436,3.96223,Draa Ben Khedda
494,Freha,36.75234,4.3155,Freha
495,Ighram,36.46295,4.50532,Ighram
496,LâArbaa NaÃ¯t Irathen,36.63112,4.19864,Larbaa Nath Irathen
497,Mekla,36.68178,4.26378,Mekla
498,Timizart,36.8,4.26667,Timizart
499,Tirmitine,36.65393,3.98143,Tirmitine
500,Tizi Ouzou,36.71182,4.04591,Tizi Ouzou
501,Tizi Rached,36.67176,4.19176,Tizi Rached
502,Tizi-n-Tleta,36.54569,4.05712,Tizi N'Tlata
503,Beni Mester,34.87045,-1.42319,Beni Mester
504,Bensekrane,35.07465,-1.22431,Bensekrane
505,Chetouane,34.92129,-1.29512,Chetouane
